horizont;benchmark;metrics;TimeGPT (zero-shot);TimeGPT (few-shot);Lag-Llama (zero-shot)
24;ETTh1;MAE;0.269;1.969;10
96;ETTh1;MAE;0.468;1.118;10
192;ETTh1;MAE;0.626;1.422;10
336;ETTh1;MAE;0.909;1.701;10
720;ETTh1;MAE;1.291;1.794;10
24;ETTh2;MAE;1.204;2.459;10
96;ETTh2;MAE;1.872;2.325;10
192;ETTh2;MAE;2.239;3.271;10
336;ETTh2;MAE;2.844;4.791;10
720;ETTh2;MAE;4.094;6.655;10
24;ETTm1;MAE;0.435;0.504;10
96;ETTm1;MAE;0.392;0.748;10
192;ETTm1;MAE;1.399;0.868;10
336;ETTm1;MAE;1.337;0.963;10
720;ETTm1;MAE;1.173;0.965;10
24;ETTm2;MAE;0.37;0.926;10
96;ETTm2;MAE;1.681;2.794;10
192;ETTm2;MAE;2.077;3.817;10
336;ETTm2;MAE;2.423;2.703;10
720;ETTm2;MAE;3.394;2.372;10
24;exchange_rate;MAE;0.054;0.016;10
96;exchange_rate;MAE;0.051;0.062;10
192;exchange_rate;MAE;0.038;0.075;10
336;exchange_rate;MAE;0.028;0.123;10
720;exchange_rate;MAE;0.031;0.148;10
24;weather;MAE;1.174;4.487;10
96;weather;MAE;1.440;2.621;10
192;weather;MAE;1.656;2.456;10
336;weather;MAE;3.735;3.483;10
720;weather;MAE;3.356;5.979;10
24;illness;MAE;10000;10000;10000
36;illness;MAE;10000;10000;10000
48;illness;MAE;10000;10000;10000
60;illness;MAE;10000;10000;10000
24;de_small;MAE;2463;1470.311;10000
36;de_small;MAE;3185;1554.456;10000
48;de_small;MAE;5817;1374.993;10000
60;de_small;MAE;6444;1771.796;10000
24;de_big;MAE;762.589;878.724;10000
96;de_big;MAE;2205.256;3385.276;10000
192;de_big;MAE;2012.095;2323.418;10000
336;de_big;MAE;2406.51;2338.977;10000
720;de_big;MAE;2686.644;2614.634;10000
24;ETTh1;MSE;0.098;1.798;0.250
96;ETTh1;MSE;0.379;0.871;1.667
192;ETTh1;MSE;0.659;0.889;4.634
336;ETTh1;MSE;1.859;4.188;3.020
720;ETTh1;MSE;3.180;7.116;2.921
24;ETTh2;MSE;1.864;9.455;36.713
96;ETTh2;MSE;4.238;7.927;31.200
192;ETTh2;MSE;8.212;16.022;71.923
336;ETTh2;MSE;13.414;36.218;22.438
720;ETTh2;MSE;26.748;67.737;65.137
24;ETTm1;MSE;0.254;0.323;3.711
96;ETTm1;MSE;0.236;0.697;1.429
192;ETTm1;MSE;3.602;1.020;6.824
336;ETTm1;MSE;3.054;1.388;10.273
720;ETTm1;MSE;2.287;1.324;5.619
24;ETTm2;MSE;0.224;1.028;7.952
96;ETTm2;MSE;6.262;17.27;66.843
192;ETTm2;MSE;7.53;17.049;89.430
336;ETTm2;MSE;10.006;10.600;177.166
720;ETTm2;MSE;19.585;9.018;49.698
24;exchange_rate;MSE;0.003;0;0.0004
96;exchange_rate;MSE;0.003;0.005;0.0002
192;exchange_rate;MSE;0.002;0.007;0.002
336;exchange_rate;MSE;0.001;0.019;0.002
720;exchange_rate;MSE;0.001;0.025;0.011
24;weather;MSE;1.881;24.472;25.004
96;weather;MSE;2.583;11.138;22.633
192;weather;MSE;3.601;9.613;22.022
336;weather;MSE;32.456;22.107;112.901
720;weather;MSE;23.352;47.210;102.149
24;illness;MSE;10000;10000;10000
36;illness;MSE;10000;10000;10000
48;illness;MSE;10000;10000;10000
60;illness;MSE;10000;10000;10000
24;de_small;MSE;10000;10000;10000
36;de_small;MSE;10000;10000;10000
48;de_small;MSE;10000;10000;10000
60;de_small;MSE;10000;10000;10000
24;de_big;MSE;10000;10000;10000
96;de_big;MSE;10000;10000;10000
192;de_big;MSE;10000;10000;10000
336;de_big;MSE;10000;10000;10000
720;de_big;MSE;10000;10000;10000
