horizont;benchmark;metrics;GTT-Small (zero-shot);GTT-Small (finetune);GTT-Tiny (zero-shot);GTT-Tiny (finetune);UniTime_8 (zero-shot);UniTime_8 (finetune);UniTime (zero-shot);UniTime (finetune);PatchTST;SegRNN;SparseTSF;ModernTCN;Repeat_Closest
24;ETTh1;MAE;0.126;0.350;0.138;0.336;0.179;0.135;0.662;0.136;0.123;0.122;0.153;0.124;0.139
96;ETTh1;MAE;0.179;0.384;0.194;0.376;0.211;0.186;0.656;0.182;0.179;0.180;0.198;0.181;0.203
192;ETTh1;MAE;0.196;0.406;0.205;0.404;0.236;0.212;0.670;0.209;0.205;0.208;0.222;0.208;0.236
336;ETTh1;MAE;0.207;0.432;0.219;0.432;0.258;0.234;0.668;0.233;0.225;0.213;0.238;0.217;0.265
720;ETTh1;MAE;0.224;0.494;0.235;0.489;0.273;0.242;0.681;0.242;0.232;0.224;0.253;0.235;0.283
24;ETTh2;MAE;0.197;0.237;0.192;0.248;0.368;0.209;0.380;0.223;0.204;0.183;0.253;0.198;0.357
96;ETTh2;MAE;0.272;0.294;0.268;0.300;0.396;0.279;0.435;0.289;0.282;0.275;0.293;0.278;0.423
192;ETTh2;MAE;0.304;0.325;0.305;0.331;0.431;0.334;0.473;0.339;0.328;0.337;0.325;0.324;0.462
336;ETTh2;MAE;0.332;0.355;0.335;0.359;0.462;0.372;0.491;0.376;0.351;0.333;0.347;0.338;0.502
720;ETTh2;MAE;0.387;0.415;0.378;0.411;0.489;0.383;0.496;0.402;0.383;0.350;0.403;0.414;0.532
24;ETTm1;MAE;0.084;0.265;0.077;0.264;0.127;0.081;0.753;0.082;0.072;0.071;0.076;0.071;0.077
96;ETTm1;MAE;0.141;0.333;0.132;0.336;0.156;0.130;0.649;0.129;0.121;0.122;0.123;0.122;0.137
192;ETTm1;MAE;0.177;0.358;0.160;0.361;0.179;0.163;0.654;0.161;0.150;0.153;0.151;0.153;0.169
336;ETTm1;MAE;0.209;0.380;0.180;0.382;0.199;0.188;0.652;0.186;0.173;0.176;0.174;0.174;0.196
720;ETTm1;MAE;0.262;0.414;0.209;0.415;0.229;0.222;0.667;0.220;0.207;0.220;0.202;0.202;0.232
24;ETTm2;MAE;0.120;0.180;0.101;0.183;0.382;0.127;0.336;0.133;0.088;0.083;0.108;0.115;0.204
